               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085143,            0.093396,            0.046379,             0.19875,             0.73524,             0.21672,             0.14291,            0.041947,             0.06805,            0.065222,            0.039885,             0.19531,             0.00209,             0.00209,             0.08119
                   1,            0.068996,            0.080952,             0.02078,             0.18713,             0.61655,              0.3569,              0.2781,            0.091521,            0.061287,             0.06096,            0.026828,             0.18142,           0.0041899,           0.0041899,             0.06229
                   2,            0.072603,            0.075307,            0.013695,             0.16423,             0.62714,             0.43659,              0.3931,             0.15412,            0.066338,            0.056338,            0.018943,             0.15793,           0.0062894,           0.0062894,            0.043389
                   3,            0.076761,            0.073471,            0.011537,             0.13844,             0.50689,             0.47135,             0.39696,             0.14593,            0.064448,            0.060462,            0.016331,             0.14229,           0.0083883,           0.0083883,            0.024488
                   4,            0.076109,            0.074585,            0.010705,             0.12487,             0.60074,             0.39601,             0.37792,             0.14956,            0.066895,            0.073322,            0.019013,             0.13553,           0.0099965,           0.0099965,           0.0099965
                   5,            0.072076,            0.074503,           0.0096771,             0.11574,             0.45792,             0.51873,             0.47415,             0.18734,            0.065862,             0.05886,            0.014418,             0.12835,           0.0099965,           0.0099965,           0.0099965
                   6,            0.068653,            0.069971,           0.0086625,             0.11049,             0.56776,             0.52456,             0.50429,             0.20885,            0.058793,            0.061231,            0.011253,              0.1249,           0.0099945,           0.0099945,           0.0099945
                   7,            0.066689,            0.070295,           0.0081363,             0.10604,             0.61732,             0.56769,             0.56355,             0.24112,            0.056726,            0.057183,            0.010049,             0.12086,           0.0099921,           0.0099921,           0.0099921
                   8,            0.064253,            0.069376,           0.0072482,             0.10346,             0.66065,             0.57567,             0.59633,             0.28168,            0.053764,             0.05622,           0.0090634,             0.11759,           0.0099893,           0.0099893,           0.0099893
                   9,            0.062509,            0.066327,           0.0068932,             0.10164,             0.66088,             0.56469,             0.58805,             0.26923,             0.05258,            0.057092,            0.010616,             0.11783,            0.009986,            0.009986,            0.009986
                  10,            0.062104,            0.069157,            0.006556,             0.10074,             0.61075,             0.60872,             0.60445,              0.2839,            0.053323,             0.05542,           0.0081634,             0.12108,           0.0099822,           0.0099822,           0.0099822
                  11,            0.060557,            0.067407,           0.0064327,            0.099577,             0.72152,             0.58535,             0.61752,             0.31262,            0.052581,            0.054398,           0.0075915,             0.11689,           0.0099781,           0.0099781,           0.0099781
                  12,            0.060055,            0.068377,           0.0062074,            0.099466,             0.73812,             0.60946,             0.63316,             0.31882,            0.048989,            0.054944,           0.0073793,              0.1152,           0.0099735,           0.0099735,           0.0099735
                  13,            0.059112,            0.067156,           0.0061099,            0.098129,              0.7556,             0.59589,             0.62982,             0.31328,            0.050668,            0.054803,            0.006761,             0.11514,           0.0099685,           0.0099685,           0.0099685
                  14,            0.058746,            0.069573,           0.0058924,            0.097451,             0.74436,             0.62736,             0.64262,             0.33918,            0.047553,            0.053915,           0.0073498,             0.11314,            0.009963,            0.009963,            0.009963
                  15,            0.057606,            0.068721,            0.005776,            0.095698,             0.73466,              0.6067,             0.63235,             0.33022,            0.047501,            0.053775,           0.0066759,              0.1134,           0.0099571,           0.0099571,           0.0099571
                  16,            0.057429,             0.06612,           0.0056069,            0.095406,             0.71343,             0.61313,             0.62042,             0.31553,            0.047876,            0.054808,           0.0085668,             0.11655,           0.0099508,           0.0099508,           0.0099508
                  17,             0.05694,            0.065025,           0.0054866,            0.095724,             0.74482,             0.61203,             0.63648,             0.33976,            0.045955,            0.053723,           0.0060653,             0.11444,            0.009944,            0.009944,            0.009944
                  18,              0.0563,            0.064574,           0.0054602,            0.095498,             0.72669,             0.64834,             0.65441,             0.35693,            0.045919,            0.054358,           0.0057776,             0.11204,           0.0099368,           0.0099368,           0.0099368
                  19,            0.056088,            0.065661,           0.0054107,            0.094324,             0.77819,             0.60608,             0.64443,             0.34826,            0.045339,            0.053476,           0.0059082,             0.10993,           0.0099291,           0.0099291,           0.0099291
                  20,             0.05568,             0.06442,           0.0053591,            0.094167,             0.75034,             0.62849,             0.64444,             0.35132,             0.04523,            0.053466,           0.0053193,             0.11003,           0.0099211,           0.0099211,           0.0099211
                  21,            0.055241,            0.065727,            0.005062,            0.094407,             0.77913,             0.63386,              0.6786,             0.37959,            0.044858,            0.053259,           0.0059435,             0.10924,           0.0099126,           0.0099126,           0.0099126
